wallet_id,reason,metric,value
0x070ae2385dedc927f821e75434e881ca5fd549fb,Unexpected behaviour due to min_holding_days,min_holding_days,0.000856481
0x070ae2385dedc927f821e75434e881ca5fd549fb,Unexpected behaviour due to max_holding_days,max_holding_days,980.9229327
0x070ae2385dedc927f821e75434e881ca5fd549fb,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,12591914.16
0x070ae2385dedc927f821e75434e881ca5fd549fb,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,79717.24423
0x070ae2385dedc927f821e75434e881ca5fd549fb,Unexpected behaviour due to avg_holding_days,avg_holding_days,73.36613673
0x070ae2385dedc927f821e75434e881ca5fd549fb,Unexpected behaviour due to num_deposits,num_deposits,54.0
0x098ddb5f48ad1daa5f691c4b2ad6360e45a22747,Unexpected behaviour due to min_holding_days,min_holding_days,3.05900463
0x098ddb5f48ad1daa5f691c4b2ad6360e45a22747,Unexpected behaviour due to max_holding_days,max_holding_days,971.6810837
0x098ddb5f48ad1daa5f691c4b2ad6360e45a22747,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,97091.25941
0x098ddb5f48ad1daa5f691c4b2ad6360e45a22747,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,97977.60554
0x098ddb5f48ad1daa5f691c4b2ad6360e45a22747,Unexpected behaviour due to avg_holding_days,avg_holding_days,255.0925755
0x098ddb5f48ad1daa5f691c4b2ad6360e45a22747,Unexpected behaviour due to num_deposits,num_deposits,10.0
0x0d625556f0afd23ff576cdf618c374092c2a54a7,Unexpected behaviour due to min_holding_days,min_holding_days,1161.239035
0x0d625556f0afd23ff576cdf618c374092c2a54a7,Unexpected behaviour due to max_holding_days,max_holding_days,1161.239035
0x0d625556f0afd23ff576cdf618c374092c2a54a7,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,342.918225
0x0d625556f0afd23ff576cdf618c374092c2a54a7,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,0.0
0x0d625556f0afd23ff576cdf618c374092c2a54a7,Unexpected behaviour due to avg_holding_days,avg_holding_days,1161.239035
0x0d625556f0afd23ff576cdf618c374092c2a54a7,Unexpected behaviour due to num_deposits,num_deposits,2.0
0x0e21755c668c41bc0be6d63d0a932735cc20113f,Unexpected behaviour due to min_holding_days,min_holding_days,1163.960127
0x0e21755c668c41bc0be6d63d0a932735cc20113f,Unexpected behaviour due to max_holding_days,max_holding_days,1163.960127
0x0e21755c668c41bc0be6d63d0a932735cc20113f,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,593.043891
0x0e21755c668c41bc0be6d63d0a932735cc20113f,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,0.0
0x0e21755c668c41bc0be6d63d0a932735cc20113f,Unexpected behaviour due to avg_holding_days,avg_holding_days,1163.960127
0x0e21755c668c41bc0be6d63d0a932735cc20113f,Unexpected behaviour due to num_deposits,num_deposits,2.0
0x0e1cfef85d4e4eaf383dfa65fa3789c9a91b85f9,Unexpected behaviour due to min_holding_days,min_holding_days,0.011053241
0x0e1cfef85d4e4eaf383dfa65fa3789c9a91b85f9,Unexpected behaviour due to max_holding_days,max_holding_days,271.0460866
0x0e1cfef85d4e4eaf383dfa65fa3789c9a91b85f9,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,1156828.961
0x0e1cfef85d4e4eaf383dfa65fa3789c9a91b85f9,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,2560.835697
0x0e1cfef85d4e4eaf383dfa65fa3789c9a91b85f9,Unexpected behaviour due to avg_holding_days,avg_holding_days,102.7303668
0x0e1cfef85d4e4eaf383dfa65fa3789c9a91b85f9,Unexpected behaviour due to num_deposits,num_deposits,662.0
0x0e7a7e5be7ace74a46186df158ba1ddbfc4966d2,Unexpected behaviour due to min_holding_days,min_holding_days,3.903101852
0x0e7a7e5be7ace74a46186df158ba1ddbfc4966d2,Unexpected behaviour due to max_holding_days,max_holding_days,226.4632154
0x0e7a7e5be7ace74a46186df158ba1ddbfc4966d2,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,918356.7603
0x0e7a7e5be7ace74a46186df158ba1ddbfc4966d2,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,129729.8738
0x0e7a7e5be7ace74a46186df158ba1ddbfc4966d2,Unexpected behaviour due to avg_holding_days,avg_holding_days,79.01726006
0x0e7a7e5be7ace74a46186df158ba1ddbfc4966d2,Unexpected behaviour due to num_deposits,num_deposits,12.0
0x100f7634a4f9f2e6c09378c2dccb27e22322f5e0,Unexpected behaviour due to min_holding_days,min_holding_days,1035.920099
0x100f7634a4f9f2e6c09378c2dccb27e22322f5e0,Unexpected behaviour due to max_holding_days,max_holding_days,1035.920099
0x100f7634a4f9f2e6c09378c2dccb27e22322f5e0,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,100.0
0x100f7634a4f9f2e6c09378c2dccb27e22322f5e0,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,0.0
0x100f7634a4f9f2e6c09378c2dccb27e22322f5e0,Unexpected behaviour due to avg_holding_days,avg_holding_days,1035.920099
0x100f7634a4f9f2e6c09378c2dccb27e22322f5e0,Unexpected behaviour due to num_deposits,num_deposits,2.0
0x13bdb62c16273c173349063d6fa78f78b450760e,Unexpected behaviour due to min_holding_days,min_holding_days,0.000625
0x13bdb62c16273c173349063d6fa78f78b450760e,Unexpected behaviour due to max_holding_days,max_holding_days,1123.789898
0x13bdb62c16273c173349063d6fa78f78b450760e,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,828877.6898
