wallet_id,aggregated_lp_score,deposit_volume_score,withdraw_volume_score,deposit_frequency_score,avg_holding_time_score,liquidity_retention_score,lp_volatility_score,time_score,total_score
0x0057d4a850e34bac84ed297f14ba146747b90272,147.0,44.0,0.0,22.0,77.0,0.0,0.0,4.0,147.0
0x00819eb70be2aecee2915ed76f9bb6ca2cfbd390,52.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,52.0
0x00d4c206ae699d5d2bf19a542a544276dc50889c,296.56,118.0,100.0,25.0,150.0,0.0,0.0,35.0,428.0
0x0052830c57696794e3999ed44dd2bb20d286a19b,341.7,112.0,0.0,22.0,118.0,0.0,150.0,0.0,402.0
0x007c70e81c0430f39c965a0819293e1745f1e443,284.0,45.0,0.0,0.0,87.0,0.0,150.0,2.0,284.0
0x0077a0eae57c0e6d73acd6ddff0205995687ccd6,496.0,41.0,99.0,0.0,38.0,150.0,150.0,18.0,496.0
0x00fdeb61315dffc6a1b083497e39c67be68c5b59,545.7,112.0,99.0,0.0,136.0,250.0,0.0,45.0,642.0
0x013e9d280d9716e5ed41eb1641c92937ac36b4a5,242.25,42.0,100.0,0.0,130.0,0.0,0.0,13.0,285.0
0x011c0b0dc1dc2125c2a310240ece961436112a63,372.0,103.0,95.0,0.0,132.0,0.0,0.0,42.0,372.0
0x0041ff590cca6e1077075678c24bad5b5fb95452,255.0,119.0,0.0,50.0,79.0,0.0,0.0,7.0,255.0
0x002fe502a3c31fb20340829cee70d95f5f85a535,213.7,63.0,0.0,122.0,78.0,0.0,150.0,0.0,413.0
0x004f996b1638b6a00a1ccd420debdc346efd3862,589.0,75.0,100.0,0.0,114.0,150.0,150.0,0.0,589.0
0x00ad6e4fa0df43410cba667c6a7768e123dbf480,451.35,80.0,30.0,0.0,121.0,150.0,150.0,0.0,531.0
0x00e7737af473fb9d19892c5de81b2f2b0ba2789f,249.05,80.0,71.0,3.0,117.0,0.0,0.0,22.0,293.0
0x0079847320e894982cfd50b665c15b329cb33806,396.1,61.0,100.0,14.0,126.0,0.0,150.0,15.0,466.0
0x0044949f51bf6cc8e898c92cee85bc99bc79fda7,142.8,80.0,0.0,50.0,38.0,0.0,0.0,0.0,168.0
0x003b810c511360f169fc55d5c8e6e8f4f4410caf,317.81,152.0,121.0,100.0,233.0,0.0,0.0,22.0,628.0
0x0076256425954d097a4003fa46d731f895cfa829,255.76,38.0,100.0,100.0,136.0,0.0,150.0,15.0,539.0
0x018f6202aa1d1a24d46e34350c2333d71ae1d488,395.0,48.0,62.0,0.0,114.0,0.0,150.0,21.0,395.0
0x01261d70f00de0928f1893f285af239d69b4de14,286.11,158.0,100.0,0.0,150.0,0.0,150.0,32.0,590.0
0x00165089dcf7b9fa63955085a46844eecf8177e1,428.4,64.0,100.0,0.0,150.0,150.0,0.0,40.0,504.0
0x004e926e200f6761934b0377e490a5b974ca3788,477.0,42.0,100.0,0.0,35.0,150.0,150.0,0.0,477.0
0x00d1f4255c1d33f36eca1f96fd092840bf93aefc,590.0,80.0,100.0,22.0,88.0,150.0,150.0,0.0,590.0
0x0016c4946c6583139265f53ea0886a182e8a4e2e,234.0,28.0,0.0,0.0,56.0,0.0,150.0,0.0,234.0
0x003b2307215dc1b2ee988c6e2ad6cdd1a3503aea,358.8,112.0,0.0,50.0,150.0,0.0,0.0,0.0,312.0
0x00e3c0917baa75e7ab5f3be9ef739d07f45b7dd4,362.0,80.0,0.0,0.0,125.0,0.0,150.0,7.0,362.0
0x0068046fda40164c42e2054bce8aec6b22bf87ba,191.41,63.0,0.0,100.0,53.0,0.0,150.0,6.0,372.0
0x00b62582ca285c4234a36218281eaf88eda9cfc5,50.0,0.0,0.0,39.0,0.0,0.0,0.0,11.0,50.0
0x00db3dde31a50e61b0c56f09e7afbca18b729763,252.0,46.0,0.0,0.0,56.0,0.0,150.0,0.0,252.0
0x0000000000004f3d8aaf9175fd824cb00ad4bf80,411.4,111.0,100.0,0.0,118.0,0.0,150.0,5.0,484.0
0x00e4846e2971bb2b29cec7c9efc8fa686ae21342,344.0,80.0,0.0,0.0,114.0,0.0,150.0,0.0,344.0
0x00e74df09273e860f7ee9930945aa84ab91b2e62,262.68,82.0,61.0,22.0,163.0,0.0,150.0,21.0,499.0
0x00dcf487a809ec751d6271a42494ab11df236ec3,211.73,118.0,0.0,22.0,122.0,0.0,150.0,7.0,419.0
0x00e0e1be571c62aa8449514575a3705689026ac1,292.4,80.0,100.0,21.0,123.0,0.0,0.0,20.0,344.0
0x0031ec7d6aaf891a4427c39c0863db6b7d5b8e3d,56.0,0.0,0.0,50.0,0.0,0.0,0.0,6.0,56.0
0x011131c3d5ef8308ec3eab15f7c1863c69f4a4c3,56.0,0.0,0.0,50.0,0.0,0.0,0.0,6.0,56.0
0x01de494230b03989f9a2d8956fdfe5486d712ebf,65.55,0.0,0.0,34.0,0.0,0.0,0.0,23.0,57.0
0x001795aefa853c2b0a30cd0a43885695a6cdbd7d,512.0,80.0,100.0,0.0,32.0,150.0,150.0,0.0,512.0
0x00dde8eed75884f3793bf49b40df36488d5fef2f,59.8,0.0,0.0,22.0,0.0,0.0,0.0,30.0,52.0
0x000a460f9e5fc39b30976cbf3484d4826941f558,116.45,113.0,0.0,22.0,2.0,0.0,0.0,0.0,137.0
0x0042bd1f992ccd8727fb3bdd6b04fd8eb783dbfa,133.0,114.0,0.0,0.0,1.0,0.0,0.0,18.0,133.0
0x000488429af0fe9b62f61e3f33638d3970a3cec9,423.3,67.0,100.0,0.0,31.0,150.0,150.0,0.0,498.0
0x00c6982f8563cbbaa35faf94465b131c75975cf4,214.0,48.0,0.0,0.0,16.0,0.0,150.0,0.0,214.0
0x0100a6e67f6abc0c452395eeca488c51b976b516,50.6,0.0,0.0,34.0,0.0,0.0,0.0,10.0,44.0
0x0152b9ec9b429836fe85089d60d5556f8d3f3299,148.0,48.0,0.0,22.0,75.0,0.0,0.0,3.0,148.0
0x0013e99ddcfb678fcd383895ed50250eb85e5d22,417.0,150.0,0.0,0.0,116.0,0.0,150.0,1.0,417.0
0x001cf7314cb75d19341a7f58d5db67205b2e5bea,490.45,27.0,100.0,0.0,150.0,150.0,150.0,0.0,577.0
0x00baae879f7a4887f571cbb2012ad0ac1913ba93,371.45,47.0,100.0,0.0,125.0,0.0,150.0,15.0,437.0
0x0078fea3bde1a03c2e3e07110729d2f65f39db62,231.2,1.0,0.0,0.0,117.0,0.0,150.0,4.0,272.0
0x0056cf2574b6cd3e1515fc8c86a097ef6f12ccbc,469.2,2.0,100.0,0.0,150.0,150.0,150.0,0.0,552.0
0x00e7235c51ae010e1b9b6d3b0e38873967054648,351.0,99.0,0.0,0.0,97.0,0.0,150.0,5.0,351.0
0x00b0a6e06a98d3dc2cb4f957c1f415ffdccb770e,321.3,112.0,90.0,0.0,115.0,0.0,0.0,61.0,378.0
0x00996f2819decca55031be2b2ec2a928d13d2515,350.05,100.0,63.0,0.0,231.0,0.0,300.0,7.0,701.0
0x002010e1aacc7fba0ef5c5114a89b0749e57ec90,418.14,273.0,0.0,0.0,264.0,0.0,300.0,0.0,837.0
0x00be53118d94832c963f95ce2f3d9e49c1275b29,258.97,92.0,46.0,50.0,193.0,0.0,150.0,9.0,540.0
0x0109feec44742e6c5d87f6145885e7b640b6e478,509.0,80.0,100.0,50.0,118.0,0.0,150.0,11.0,509.0
0x00f5ddcb7996e0290f4e770f3642b07fcb642f96,276.0,77.0,50.0,22.0,113.0,0.0,0.0,14.0,276.0
0x0158d6e7082a85eb01ba2b99da98d8b60f04dcfc,327.0,63.0,0.0,0.0,114.0,0.0,150.0,0.0,327.0
0x019ee51c92802065c935dcb8f793016ec31e1e55,93.15,0.0,0.0,50.0,0.0,0.0,0.0,31.0,81.0
0x0143ea2f4d6eaf38b595d762d5528997b4dc28c9,209.0,58.0,0.0,0.0,1.0,0.0,150.0,0.0,209.0
0x0075d702e1fcbce9b4ef38f82ffd87e3d7b05e52,285.0,63.0,76.0,0.0,117.0,0.0,0.0,29.0,285.0
0x00294fd21653a36616fbca199d64993faa31aa16,375.0,91.0,0.0,22.0,112.0,0.0,150.0,0.0,375.0
0x00833c9dff59cb2b242fbf47cdc327cc0a1be42d,192.0,80.0,0.0,0.0,105.0,0.0,0.0,7.0,192.0
0x0009d32184afc79797ec63589e62ad5b53134aad,628.0,80.0,100.0,0.0,148.0,150.0,150.0,0.0,628.0
0x008746da3cf776dc095306a9020643ee7d53cd7a,304.3,78.0,0.0,0.0,130.0,0.0,150.0,0.0,358.0
0x00634ae022c045cbecf82ff7f1152d2b13bc3c3b,221.85,80.0,68.0,0.0,90.0,0.0,0.0,23.0,261.0
0x009b672ce0d235374b1dff500472fdc239860c2b,303.45,80.0,0.0,0.0,127.0,0.0,150.0,0.0,357.0
0x0091f8352642bd54107740b47e0ef9f35a01b542,205.7,47.0,0.0,86.0,105.0,0.0,0.0,4.0,242.0
0x0082d961dee0932a9c68564b14ddb4efec172055,463.25,77.0,30.0,0.0,121.0,150.0,150.0,17.0,545.0
0x00aa222d3192d2bcf7419196c45581517c51f4af,343.0,80.0,0.0,0.0,113.0,0.0,150.0,0.0,343.0
0x00057df318f342fff187948b85661b0d93f8d45e,198.05,31.0,0.0,22.0,107.0,0.0,73.0,0.0,233.0
0x00432d1ff71472449d7c763417f1ee22248815aa,262.77,80.0,75.0,130.0,124.0,0.0,150.0,24.0,583.0
0x01128ac7e59e5f259288250676fc15067fedb2f1,200.6,80.0,23.0,0.0,113.0,0.0,0.0,20.0,236.0
0x0076fe33d135a1ab71845530cfe3898f9094e500,251.6,11.0,0.0,50.0,85.0,0.0,150.0,0.0,296.0
0x00bdde54df3a0be4364182f5a428404734af4d3c,386.75,80.0,100.0,0.0,117.0,0.0,150.0,8.0,455.0
0x00e1f587b90eb6ca1ddf0baa59ec9ef47c96f34d,302.6,38.0,100.0,46.0,150.0,0.0,0.0,22.0,356.0
0x00517b07db18a4210276398fe3fab14dc60f495c,188.7,80.0,0.0,77.0,61.0,0.0,0.0,4.0,222.0
0x0098fdef606b9e1dddfc06f2222cde2b3876e081,250.0,53.0,0.0,0.0,47.0,0.0,150.0,0.0,250.0
0x00dbcc59e6bb596cf2a1cff9326c5f80618875c3,288.15,70.0,0.0,0.0,115.0,0.0,150.0,4.0,339.0
0x000e340b4640316d90d611cf0fb9eda6ba93c087,334.05,80.0,100.0,122.0,31.0,150.0,150.0,0.0,633.0
0x008256329d7f1eaeead40d5705e6db236452f6fc,57.0,0.0,0.0,22.0,0.0,0.0,0.0,35.0,57.0
0x00b7d5cec8d8304c416937a6ba4ed8d5c21187d9,350.2,112.0,0.0,0.0,150.0,0.0,150.0,0.0,412.0
0x004fc16bdc6f73b1ae316e9cad5f3b20bce631fb,51.0,0.0,0.0,50.0,0.0,0.0,0.0,10.0,60.0
0x001ff3e27752f458ce65225f7fe5804558f8f5b7,592.0,38.0,99.0,0.0,120.0,150.0,150.0,35.0,592.0
0x0191363f12fcc73ac9cf6bab54572edd1dc713be,240.0,80.0,0.0,0.0,10.0,0.0,150.0,0.0,240.0
0x00638a54cc0984f2f92ddc1634850993636bb292,382.0,80.0,27.0,0.0,112.0,0.0,150.0,13.0,382.0
0x0026075dee1b174b6dfe5585558b885d33bf3d80,217.0,112.0,0.0,50.0,54.0,0.0,0.0,1.0,217.0
0x001d9f0c3b75faf962b891b654ec9e57ab0702fe,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
0x0083c63bcdc61e96e2f90cb3a14129b4b3379859,163.2,122.0,0.0,22.0,48.0,0.0,0.0,0.0,192.0
0x00677b7e83c68fef37e64dfc32d35194b53b0a9a,84.0,0.0,0.0,77.0,0.0,0.0,0.0,7.0,84.0
0x00f051cb90271d686e2cb9b6e2962579b6d68033,601.0,80.0,99.0,0.0,112.0,150.0,150.0,10.0,601.0
0x00f1060fe72b9b153233520b0c731c44967c8bf6,192.95,33.0,0.0,0.0,44.0,0.0,150.0,0.0,227.0
0x00d600db14e3a0468d68d8a13d8d307816ace347,355.3,113.0,100.0,31.0,150.0,0.0,0.0,24.0,418.0
0x005e876ea3e281372835e4097c830003cfb4c057,246.59,196.0,0.0,77.0,68.0,0.0,150.0,0.0,491.0
0x007e2fdae7ac1307e9bd9be979635e76dd731443,247.35,80.0,0.0,0.0,61.0,0.0,150.0,0.0,291.0
0x007094658d5b370c60491a29639272559d04a4c8,323.0,80.0,0.0,22.0,71.0,0.0,150.0,0.0,323.0
0x00a62c6945b22d7e32b9b658c51290bf9d4b4c8c,262.65,80.0,0.0,0.0,79.0,0.0,150.0,0.0,309.0
0x009a97ba09273ae0e06597ec8298778a415fe182,328.0,80.0,90.0,0.0,121.0,0.0,0.0,37.0,328.0
0x010c5d8cf8f1d6bd2c2306ea3210c469e67bbd52,290.0,31.0,0.0,22.0,85.0,0.0,150.0,2.0,290.0
0x01327283e8903603e55b5e9c724f0f5604a3660b,344.25,84.0,100.0,39.0,150.0,0.0,0.0,32.0,405.0
0x0101b58c3f766ff6f608278cc220fea4411a0101,473.8,112.0,0.0,0.0,150.0,0.0,150.0,0.0,412.0
0x00dfb0d32722d7820df685e1b93f33774e83892e,209.1,112.0,11.0,22.0,83.0,0.0,0.0,18.0,246.0
0x008a7af5d637fa9af2e515191b8f0f31fe8ec4c5,263.0,113.0,0.0,0.0,0.0,0.0,150.0,0.0,263.0
0x0074a88adb50e9a1134718137db0280511276b9c,275.4,80.0,0.0,0.0,94.0,0.0,150.0,0.0,324.0
0x009764cd3c6127e322f6858cf956a507e66d8bb4,231.2,80.0,0.0,77.0,115.0,0.0,0.0,0.0,272.0
0x007de1a424c4076fb8c2aafb3d3bfb22e3824303,598.0,49.0,100.0,0.0,149.0,150.0,150.0,0.0,598.0
0x00eafe0de090f3bc023c1156f2bc42fb4550907b,230.0,80.0,0.0,0.0,0.0,0.0,150.0,0.0,230.0
